,Battery,Brand,Multi_core,Name,OpenCL,Processor,Processor_Cores,Processor_Frequency,RenderScript,Single_core
527,N/A,LG,2485,LG Stylo 3 Plus,1428,Qualcomm Snapdragon 435,8,1401 MHz,2001,619
528,N/A,Huawei,1975,Huawei Ascend XT,1244,Qualcomm MSM8939v2 Snapdragon 616,8,1497 MHz,2197,619
529,N/A,Xiaomi,1374,Xiaomi Mi 4i,1237,Qualcomm MSM8939 Snapdragon 615,8,1651 MHz,1404,617
530,1833,Motorola,2476,Motorola Moto G5,1467,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1956,617
531,N/A,Meizu,2184,Meizu M5s,N/A,Mediatek MT6753,8,1300 MHz,1577,616
532,N/A,Lenovo,1819,Lenovo Vibe P1,1237,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,2022,614
533,N/A,Amazon,1616,Amazon Fire HD 8 (2017),N/A,MediaTek MT8163 V/B,4,1300 MHz,1027,614
534,1011,Samsung,1827,Samsung Galaxy A3 (2016),1204,Samsung Exynos 7578,4,1500 MHz,1124,613
535,N/A,Vernee,2599,Vernee Thor,N/A,Mediatek MT6753,8,1300 MHz,1688,613
536,1145,Amazon,1614,Amazon Fire HD 8 (2016),N/A,MediaTek MT8163 V/B,4,1300 MHz,985,612
537,N/A,Samsung,1752,Samsung Galaxy J3 Prime,N/A,Samsung Exynos 7570,4,1430 MHz,1074,609
538,N/A,Ulefone,2465,Ulefone Metal,N/A,Mediatek MT6753,8,1300 MHz,1598,609
539,N/A,HTC,1704,HTC One M8s,1251,Qualcomm MSM8939 Snapdragon 615,8,1651 MHz,2036,607
540,N/A,ZTE,2412,ZTE Blade V7,N/A,Mediatek MT6753,8,1300 MHz,1647,607
541,N/A,Samsung,1751,Samsung Galaxy J3 (2017),644,Samsung Exynos 7570,4,1430 MHz,1109,606
542,694,Lenovo,1654,Lenovo Vibe K5,1161,Qualcomm MSM8929 Snapdragon 415,8,0 MHz,1786,605
543,N/A,Doogee,2421,Doogee F5,N/A,Mediatek MT6753,8,1300 MHz,1468,605
544,N/A,Elephone,2450,Elephone P8000,N/A,Mediatek MT6753,8,1300 MHz,1592,605
545,919,HTC,1792,HTC Desire 628,N/A,Mediatek MT6753,8,1300 MHz,1401,603
546,1851,Wiko,2415,Wiko Fever 4G,N/A,Mediatek MT6753,8,1300 MHz,1572,602
547,N/A,Vivo,2225,Vivo V5s,N/A,Mediatek MT6750,8,1508 MHz,1682,602
548,1649,Meizu,2082,Meizu U10,N/A,Mediatek MT6750,8,1001 MHz,1399,601
549,N/A,Meizu,2379,Meizu M6,N/A,Mediatek MT6750,8,1001 MHz,1710,601
550,N/A,Meizu,2150,Meizu M5,N/A,Mediatek MT6750,8,1001 MHz,1494,600
551,N/A,Sony,1405,Sony Xperia M4 Aqua,1136,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1634,599
552,2870,Samsung,1717,Samsung Galaxy J5 Prime,622,Samsung Exynos 7570,4,1430 MHz,1053,599
553,N/A,BLU,2382,BLU Vivo 5R,N/A,Mediatek MT6753,8,1300 MHz,1639,599
554,N/A,Lenovo,2360,Lenovo Vibe K4 Note,N/A,Mediatek MT6753,8,1300 MHz,1665,598
555,N/A,Alcatel,1534,Alcatel OneTouch Idol 3,1236,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1800,598
556,N/A,Huawei,1520,Huawei Ascend P7,N/A,HiSilicon Kirin 910T,4,1795 MHz,1022,597
557,N/A,Oukitel,2409,Oukitel K6000 Pro,N/A,Mediatek MT6753,8,1300 MHz,1610,596
558,2548,ulefone,2337,ulefone Power,N/A,Mediatek MT6753,8,1300 MHz,1496,596
559,N/A,LG,1608,LG K20 plus,532,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,1079,595
560,N/A,Sony,1347,Sony Xperia M4 Aqua Dual,1255,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1588,595
561,N/A,Coolpad,2274,Coolpad Note 3,N/A,Mediatek MT6753,8,1300 MHz,1581,591
562,1212,Meizu,1542,Meizu M2,N/A,Mediatek MT6735,4,1300 MHz,848,590
563,N/A,Motorola,1481,Motorola Moto G Turbo Edition,1241,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1594,590
564,1927,LG,2228,LG K10 (2017),N/A,Mediatek MT6750,8,1001 MHz,1492,588
565,N/A,LG,1966,LG Stylus 2 Plus,1317,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1762,587
566,N/A,Vivo,2428,Vivo Y66,N/A,Qualcomm MSM8937 Snapdragon 430,8,1508 MHz,1671,586
567,N/A,Asus,1610,Asus Zenfone Selfie,1236,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,1670,582
568,1709,Coolpad,1599,Coolpad Note 3 Lite,N/A,Mediatek MT6735,4,1300 MHz,927,582
569,2018,Meizu,2241,Meizu M2 Note,N/A,Mediatek MT6753,8,1300 MHz,1447,580
570,N/A,Lenovo,1873,Lenovo Vibe K5 Plus,1218,Qualcomm MSM8939v2 Snapdragon 616,8,1497 MHz,1788,580
571,581,Samsung,1490,Samsung Galaxy Note II,N/A,Samsung Exynos 4412,4,1600 MHz,961,579
572,848,Samsung,1469,Samsung Galaxy Note 8.0,N/A,Samsung Exynos 4412,4,1600 MHz,900,579
573,N/A,Vodafone,1394,Vodafone Smart Ultra 6,1243,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1850,578
574,N/A,BQ,1659,BQ Aquaris M5,1250,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1862,574
575,701,HTC,1447,HTC Desire 820,1255,Qualcomm MSM8939 Snapdragon 615,8,1536 MHz,1914,573
576,N/A,Samsung,1471,Samsung Galaxy A7,1255,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,1984,568
577,N/A,ZTE,1523,ZTE Blade V6,N/A,Mediatek MT6735,4,1300 MHz,487,568
578,N/A,LG,1732,LG K10,398,Qualcomm MSM8916 Snapdragon 410,4,1300 MHz,1508,567
579,N/A,YU,1309,YU Yureka,N/A,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,1593,559
580,N/A,BLU,1554,BLU R1 HD,N/A,Mediatek MT6735,4,1300 MHz,879,558
581,1620,Nokia,1526,Nokia 3,N/A,Mediatek MT6737,4,1248 MHz,1081,557
582,N/A,Samsung,1596,Samsung Galaxy J2 Prime,422,Mediatek MT6737,4,1443 MHz,935,557
583,N/A,LG,1484,LG X power,N/A,Mediatek MT6735,4,1300 MHz,1234,555
584,N/A,Sony,1476,Sony Xperia E5,N/A,Mediatek MT6735,4,1300 MHz,961,555
585,N/A,LG,1373,LG Aristo 2,419,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,895,554
586,1054,Motorola,1424,Motorola Moto G3,458,Qualcomm MSM8916 Snapdragon 410,4,1363 MHz,1004,552
587,N/A,Meizu,1437,Meizu M5c,N/A,Mediatek MT6737,4,1248 MHz,1023,552
588,1722,LG,1993,LG Q6,1260,Qualcomm Snapdragon 435,8,1401 MHz,1750,550
589,837,Xiaomi,1531,Xiaomi MI-2,1246,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,1312,547
590,N/A,Oppo,1487,Oppo Find 5,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1512 MHz,1124,545
591,1074,Sony,1348,Sony Xperia ZR,1189,Qualcomm Snapdragon S4 Pro APQ8064,4,1512 MHz,954,542
592,N/A,Huawei,1966,Huawei Y6II Compact,N/A,Mediatek MT6735,4,1200 MHz,1391,542
593,N/A,LG,1465,LG K8,N/A,Mediatek MT6735,4,1300 MHz,936,542
594,N/A,Sony,1409,Sony Xperia Tablet Z,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1512 MHz,978,541
595,1225,Huawei,1977,Huawei P8 lite,N/A,HiSilicon Kirin 620,8,1200 MHz,1355,541
596,N/A,Huawei,1988,Huawei Honor 4C,N/A,HiSilicon Kirin 620,8,1200 MHz,1381,540
597,N/A,Sony,1379,Sony Xperia ZL,1209,Qualcomm Snapdragon S4 Pro APQ8064,4,1512 MHz,939,539
598,1007,Sony,1331,Sony Xperia Z,1210,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,930,538
599,3398,Motorola,1501,Motorola Moto E4 Plus,629,Mediatek MT6737,4,1248 MHz,964,537
600,N/A,Huawei,1987,Huawei Honor 4X,N/A,HiSilicon Kirin 620,8,1200 MHz,1436,536
601,926,LG,1347,LG Nexus 4,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,1103,535
602,N/A,Motorola,1514,Motorola Moto E4,593,Mediatek MT6737,4,1248 MHz,1098,535
603,N/A,Asus,2044,Asus Zenfone Max Plus,N/A,Mediatek MT6750,8,1508 MHz,1595,533
604,N/A,HTC,1332,HTC Droid DNA,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,964,532
605,N/A,Motorola,1489,Motorola Moto C Plus,N/A,Mediatek MT6737,4,1248 MHz,910,531
606,N/A,Samsung,1386,Samsung Galaxy Note 10.1,N/A,Samsung Exynos 4412,4,1400 MHz,821,530
607,N/A,Samsung,1382,Samsung Galaxy Note 10.1 3G,N/A,Samsung Exynos 4412,4,1400 MHz,820,525
608,1008,Wileyfox,1390,Wileyfox Swift,400,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,912,522
609,N/A,Vivo,1332,Vivo Y51L,403,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,858,522
610,N/A,Lenovo,1321,Lenovo S90 Sisley,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,778,520
611,1376,Samsung,1435,Samsung Galaxy Core Prime,N/A,Qualcomm MSM8916 Snapdragon 410,4,1248 MHz,809,519
612,N/A,Huawei,1452,Huawei Y6 Pro,N/A,Mediatek MT6735P,4,1300 MHz,814,518
613,N/A,Oppo,1311,Oppo A37,399,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,1030,516
614,853,Asus,1298,Asus Zenfone 2 Laser,945,Qualcomm MSM8956 Snapdragon 650,6,1209 MHz,1216,514
615,N/A,Doogee,1327,Doogee X5 Max Pro,N/A,Mediatek MT6737,4,1092 MHz,825,513
616,N/A,LG,1336,LG Optimus G,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,841,511
617,N/A,Lenovo,1292,Lenovo A6010,398,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,810,511
618,N/A,Xiaomi,1328,Xiaomi Redmi 2,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,892,509
619,N/A,Motorola,1328,Motorola Moto G4 Play,402,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,947,508
620,N/A,ZTE,1296,ZTE Zmax 2,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,866,508
621,1303,Lenovo,1219,Lenovo A6000,401,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,842,506
622,845,Samsung,1253,Samsung Galaxy S III,N/A,Samsung Exynos 4412,4,1400 MHz,725,505
623,N/A,LG,1292,LG G Stylo,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,863,505
624,N/A,HTC,1194,HTC Desire 510,N/A,Qualcomm Snapdragon 410,4,1190 MHz,N/A,502
625,1168,Motorola,1272,Motorola Moto E (2nd Gen.),399,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,887,500
626,N/A,Samsung,1265,Samsung Galaxy Grand Prime,N/A,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,868,497
627,N/A,LG,1331,LG Stylo 2,399,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,869,497
628,N/A,Samsung,1251,Samsung Galaxy Tab E 9.6,N/A,Spreadtrum SC7730,4,1190 MHz,913,496
629,1495,Samsung,1257,Samsung Galaxy Tab A 8.0,399,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,892,492
630,541,Samsung,1200,Samsung Galaxy J5,400,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,869,491
631,N/A,Samsung,1281,Samsung Galaxy Tab A 9.7,415,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,871,491
632,N/A,Samsung,1167,Samsung Galaxy J5 (2016),400,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,875,491
633,931,Samsung,1126,Samsung Galaxy A5 Duos,399,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,808,491
634,N/A,LG,1248,LG Stylus 2,398,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,898,491
635,724,Samsung,1115,Samsung Galaxy A3,400,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,811,490
636,N/A,Barnes,808,Barnes & Noble Nook HD+,N/A,Ti OMAP 4470,2,1500 MHz,436,489
637,N/A,Samsung,1124,Samsung Galaxy A5,400,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,799,488
638,N/A,Xiaomi,1264,Xiaomi Redmi 1S,N/A,Qualcomm Snapdragon 400,2,1593 MHz,2619,485
639,N/A,Samsung,1158,Samsung Galaxy E5,397,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,799,484
640,N/A,Oppo,1235,Oppo A33,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,920,483
641,N/A,Samsung,1142,Samsung Galaxy J3 V,N/A,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,862,481
642,N/A,Samsung,762,Samsung Galaxy Tab 3 8.0,N/A,Samsung Exynos 4212,2,1500 MHz,443,478
643,N/A,LG,1226,LG Spirit,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,898,477
644,N/A,Samsung,774,Samsung Galaxy S III,N/A,Qualcomm Snapdragon S4 MSM8960,2,1500 MHz,724,475
645,N/A,Lenovo,1272,Lenovo Vibe P1m,N/A,Mediatek MT6735,4,988 MHz,717,475
646,N/A,Samsung,1108,Samsung Galaxy On7,399,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,834,475
647,N/A,Huawei,1347,Huawei Y5II,N/A,Mediatek MT6735,4,1300 MHz,782,473
648,N/A,Samsung,1208,Samsung Galaxy S3 Neo,427,Qualcomm MSM8226 Snapdragon 400,4,1401 MHz,769,466
649,440,Samsung,698,Samsung Galaxy Note,N/A,Samsung Exynos 4210,2,1400 MHz,424,464
650,691,Lenovo,1233,Lenovo A2010,N/A,Mediatek MT6735,4,988 MHz,698,452
651,N/A,Motorola,1223,Motorola Moto C,N/A,Mediatek MT6737,4,1092 MHz,782,446
652,688,Amazon,1185,Amazon Kindle Fire (2015),N/A,Mediatek MT8127,4,1300 MHz,729,442
653,N/A,Samsung,1159,Samsung Galaxy J3,502,Spreadtrum SC9830,4,1500 MHz,740,441
654,2161,Amazon,1158,Amazon Fire (2017),N/A,Mediatek MT8127,4,1300 MHz,782,441
655,N/A,Lenovo,1220,Lenovo Lenovo TB3-710F,N/A,Mediatek MT8161,4,1300 MHz,527,436
656,N/A,Lenovo,1183,Lenovo C2,N/A,Mediatek MT6735,4,988 MHz,707,432
657,780,LG,1133,LG G3 S,N/A,Qualcomm Snapdragon 400,2,1190 MHz,667,430
658,N/A,Motorola,1093,Motorola Moto G,426,Qualcomm Snapdragon 400,2,1190 MHz,690,427
659,N/A,Motorola,1156,Motorola Moto E3 Power,N/A,Mediatek MT6735,4,988 MHz,687,427
660,N/A,Samsung,1126,Samsung Galaxy Tab 4 10.1,316,Qualcomm Snapdragon 400,2,1190 MHz,712,426
661,569,Motorola,1077,Motorola Moto G (2014),426,Qualcomm MSM8226 Snapdragon 400,4,1190 MHz,690,425
662,N/A,HTC,981,HTC One X,N/A,NVIDIA Tegra 3 T30,4,1500 MHz,622,423
663,N/A,ZTE,1146,ZTE Blade V7 Lite,N/A,Mediatek MT6735P,4,988 MHz,655,422
664,N/A,Samsung,1099,Samsung Galaxy Grand 2,N/A,Qualcomm MSM8226 Snapdragon 400,4,1190 MHz,685,416
665,N/A,Samsung,639,Samsung Galaxy S II,N/A,Samsung Exynos 4210,2,1200 MHz,346,415
666,N/A,Asus,1186,Asus Zenfone Go,N/A,Mediatek MT6580M,4,1300 MHz,708,415
667,642,Doogee,1121,Doogee X5,N/A,Mediatek MT6580M,4,1300 MHz,708,415
668,1032,Samsung,1122,Samsung Galaxy S5 Mini,425,Samsung Exynos 3470,4,1400 MHz,743,414
669,198,Samsung,668,Samsung Galaxy Nexus,N/A,Ti OMAP 4460,2,1200 MHz,336,413
670,N/A,LG,1056,LG Phoenix 2,398,Qualcomm MSM8909 Snapdragon 210,4,1267 MHz,687,412
671,N/A,Samsung,1051,Samsung Galaxy J2 Pro (2016),N/A,Spreadtrum SC8830,4,1500 MHz,676,411
672,N/A,LG,1007,LG Tribute,396,Qualcomm Snapdragon 400,2,1267 MHz,714,410
673,N/A,Huawei,661,Huawei Ascend P1,N/A,Ti OMAP 4460,2,1500 MHz,494,408
674,N/A,Samsung,1071,Samsung Galaxy Grand Prime,N/A,Qualcomm MSM8916 Snapdragon 410,4,1300 MHz,853,408
675,934,Samsung,1120,Samsung Galaxy J2,N/A,Samsung Exynos 3475 Quad,4,1300 MHz,702,406
676,N/A,Cubot,1151,Cubot Note S,N/A,Mediatek MT6580M,4,1300 MHz,691,404
677,N/A,Samsung,1152,Samsung Galaxy On5,353,Samsung Exynos 3475 Quad,4,1300 MHz,677,403
678,1909,Samsung,1027,Samsung Galaxy Tab A 7.0,N/A,Qualcomm MSM8916 Snapdragon 410,4,1300 MHz,713,396
679,N/A,LG,1013,LG K7,N/A,Mediatek MT6580M,4,1094 MHz,634,396
680,N/A,HTC,978,HTC Desire 530,N/A,Qualcomm MSM8909 Snapdragon 210,4,1094 MHz,658,388
681,N/A,Lenovo,992,Lenovo Tab 10,N/A,Qualcomm MSM8909 Snapdragon 210,4,1267 MHz,748,388
682,N/A,Samsung,1005,Samsung Galaxy J3 (2016),397,Spreadtrum SC9830,4,1300 MHz,703,386
683,749,Asus,979,Asus Nexus 7,N/A,NVIDIA Tegra 3 T30L,4,1300 MHz,672,384
684,N/A,LG,879,LG Optimus 4X HD,N/A,NVIDIA Tegra 3 T30,4,1500 MHz,654,384
685,N/A,HTC,978,HTC Desire 626s,N/A,Qualcomm MSM8909 Snapdragon 210,4,1094 MHz,635,384
686,N/A,Asus,882,Asus Zenfone Max,627,Qualcomm MSM8916 Snapdragon 410,4,998 MHz,1125,382
687,N/A,Lenovo,951,Lenovo A1000,N/A,Spreadtrum SC7731,4,1300 MHz,497,382
688,N/A,Motorola,738,Motorola Moto E,N/A,Qualcomm MSM8210 Snapdragon 200,2,1190 MHz,463,379
689,N/A,Samsung,974,Samsung Galaxy J1 (2016),491,Spreadtrum SC9830,4,1200 MHz,683,374
690,612,Motorola,595,Motorola RAZR XT910 ,N/A,Ti OMAP 4430,2,1200 MHz,325,368
691,N/A,Sony,593,Sony Xperia M,N/A,Qualcomm Snapdragon S4 Plus MSM8227,2,972 MHz,296,368
692,N/A,Sony,849,Sony Xperia M2,N/A,Qualcomm Snapdragon 400,2,1190 MHz,631,341
693,N/A,Samsung,580,Samsung Galaxy Note LTE,N/A,Qualcomm Snapdragon S4 MSM8660,2,1500 MHz,N/A,339
694,N/A,Samsung,521,Samsung Galaxy Tab 2 10.1,N/A,Ti OMAP 4430,2,1008 MHz,310,312
695,N/A,Samsung,517,Samsung Galaxy Tab 2 7.0 (WiFi),N/A,Ti OMAP 4430,2,1000 MHz,334,311
696,N/A,Sony,289,Sony Ericsson Xperia Arc S,N/A,Qualcomm Snapdragon S2 MSM8255T,1,1400 MHz,N/A,310
697,N/A,Samsung,514,Samsung Galaxy Tab 2 7.0,N/A,Ti OMAP 4430,2,1000 MHz,285,310
698,242,Samsung,490,Samsung Galaxy S III mini,N/A,ST-Ericsson NovaThor U8420,2,1000 MHz,291,307
699,5020,Samsung,10645,Samsung Galaxy S10+,14426,Qualcomm Snapdragon 855,8,1785 MHz,7280,3430
700,5990,Samsung,10598,Samsung Galaxy S10,14206,Qualcomm Snapdragon 855,8,1785 MHz,7284,3422
701,5690,Samsung,10513,Samsung Galaxy S10e,14450,Qualcomm Snapdragon 855,8,1785 MHz,7336,3414
702,3794,Samsung,9892,Samsung Galaxy S10+,17077,Samsung Exynos 9820,8,1950 MHz,9520,4313
703,3160,Samsung,9818,Samsung Galaxy S10,16974,Samsung Exynos 9820,8,1950 MHz,9441,4314
704,4690,Samsung,9788,Samsung Galaxy S10e,17630,Samsung Exynos 9820,8,1950 MHz,9383,4253
705,5833,Huawei,9771,Huawei Mate 20 Pro,13986,HiSilicon Kirin 980,8,1805 MHz,7629,3331
706,3565,OnePlus,8846,OnePlus 6,13181,Qualcomm Snapdragon 845,8,1766 MHz,13505,2390
707,4873,OnePlus,8842,OnePlus 6T,13130,Qualcomm Snapdragon 845,8,1766 MHz,13165,2372
708,5154,Samsung,8804,Samsung Galaxy Note 9,13452,Samsung Exynos 9810,8,1794 MHz,9353,3467
709,N/A,Vivo,8769,Vivo NEX S,13109,Qualcomm Snapdragon 845,8,1766 MHz,13620,2390
710,3880,HTC,8711,HTC U12+,13266,Qualcomm Snapdragon 845,8,1766 MHz,13476,2406
711,4096,Samsung,8671,Samsung Galaxy S9+,13490,Samsung Exynos 9810,8,1794 MHz,8585,3335
712,3209,Asus,8554,Asus Zenfone 5z,13241,Qualcomm Snapdragon 845,8,1766 MHz,13482,2383
713,4783,Samsung,8532,Samsung Galaxy Note 9,13010,Qualcomm Snapdragon 845,8,1766 MHz,13256,2358
714,3960,Samsung,8527,Samsung Galaxy S9,13197,Samsung Exynos 9810,8,1794 MHz,8705,3289
715,3770,LG,8445,LG G7 ThinQ,13059,Qualcomm Snapdragon 845,8,1766 MHz,13153,2317
716,3681,Sony,8389,Sony Xperia XZ2,13078,Qualcomm Snapdragon 845,8,1766 MHz,13340,2378
717,N/A,Xiaomi,8367,Xiaomi Black Shark,11561,Qualcomm Snapdragon 845,8,1766 MHz,13220,2392
718,4150,Samsung,8306,Samsung Galaxy S9+,12992,Qualcomm Snapdragon 845,8,1766 MHz,13406,2292
719,N/A,Sony,8280,Sony Xperia XZ2 Compact,13081,Qualcomm Snapdragon 845,8,1766 MHz,13233,2351
720,3965,Xiaomi,8243,Xiaomi Mi 8,13262,Qualcomm Snapdragon 845,8,1766 MHz,13090,2279
721,3420,Samsung,8239,Samsung Galaxy S9,12708,Qualcomm Snapdragon 845,8,1766 MHz,13121,2281
722,3013,Xiaomi,8148,Xiaomi Mix 2S,13291,Qualcomm Snapdragon 845,8,1766 MHz,13318,2259
723,4270,Google,8039,Google Pixel 3 XL,N/A,Qualcomm Snapdragon 845,8,1766 MHz,13325,2290
724,N/A,Google,7770,Google Pixel 3,13451,Qualcomm Snapdragon 845,8,1766 MHz,13217,2244
725,4575,Xiaomi,7697,Xiaomi Pocophone F1,13340,Qualcomm Snapdragon 845,8,1766 MHz,12922,2194
726,N/A,Xiaomi,7148,Xiaomi Poco F1,13326,Qualcomm Snapdragon 845,8,1766 MHz,12621,2093
727,3960,OnePlus,6612,OnePlus 5T,10846,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7859,1941
728,5360,Razer,6603,Razer Phone,10962,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7908,1913
729,3490,Motorola,6482,Motorola Moto Z2 Force,10913,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7770,1892
730,2627,Huawei,6461,Huawei Honor View 10,13379,HiSilicon Kirin 970,8,1844 MHz,8984,1877
731,N/A,ZTE,6437,ZTE Nubia Z17S,10753,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7823,1922
732,3375,Nokia,6431,Nokia 8,11189,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7839,1908
733,N/A,Sony,6422,Sony Xperia XZ1 Compact,11214,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7814,1890
734,N/A,HTC,6409,HTC U11+,11041,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7882,1925
735,3844,Samsung,6405,Samsung Galaxy Note 8,13930,Samsung Exynos 8895 Octa,8,1690 MHz,9907,1951
736,3948,Samsung,6386,Samsung Galaxy S8,13873,Samsung Exynos 8895 Octa,8,1690 MHz,9210,1941
737,N/A,Huawei,6386,Huawei Nova 2s,11811,Hisilicon Kirin 960,8,1844 MHz,10914,1893
738,4097,Samsung,6350,Samsung Galaxy S8+,13802,Samsung Exynos 8895 Octa,8,1690 MHz,9035,1939
739,N/A,HTC,6333,HTC U11,10923,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7938,1913
740,4630,Meizu,6330,Meizu 15 Plus,N/A,Samsung Exynos 8895 Octa,8,1690 MHz,8067,1911
741,3440,Essential,6319,Essential PH-1,10798,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7647,1873
742,5308,ZTE,6303,ZTE Nubia Z17,10556,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7702,1914
743,2428,Huawei,6302,Huawei Honor 9,11257,Hisilicon Kirin 960,8,1844 MHz,10491,1873
744,3572,Samsung,6277,Samsung Galaxy Note 8,12953,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,9054,1792
745,3488,Xiaomi,6267,Xiaomi Mi Mix 2,10857,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7672,1890
746,3482,Huawei,6217,Huawei Honor 10,13372,HiSilicon Kirin 970,8,1844 MHz,8459,1827
747,3620,Xiaomi,6193,Xiaomi MI 6,10795,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7658,1894
748,3186,Sony,6179,Sony Xperia XZ1,11221,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7775,1880
749,4046,Sony,6156,Sony Xperia XZ Premium,11018,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7782,1886
750,4033,LG,6151,LG V30,9542,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7480,1866
751,3860,Google,6121,Google Pixel 2 XL,7553,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7089,1826
752,N/A,Huawei,6106,Huawei Honor V9,9458,Hisilicon Kirin 960,8,1844 MHz,9623,1877
753,2768,Huawei,6063,Huawei Honor 8 Pro,8156,Hisilicon Kirin 960,8,1844 MHz,9032,1867
754,3012,Google,6060,Google Pixel 2,9970,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7179,1838
755,N/A,Samsung,6057,Samsung Galaxy S8 Active,10321,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7509,1775
756,2447,Huawei,6054,Huawei P10,9580,Hisilicon Kirin 960,8,1844 MHz,9000,1861
757,4174,Samsung,6032,Samsung Galaxy S8+,11747,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,8349,1771
758,3410,Samsung,6028,Samsung Galaxy S8,12897,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,8800,1763
759,N/A,Huawei,5972,Huawei Mate 9,9776,Hisilicon Kirin 960,8,1844 MHz,8619,1870
760,2440,Huawei,5850,Huawei P10 Plus,9990,Hisilicon Kirin 960,8,1844 MHz,8821,1870
761,N/A,Vivo,5778,Vivo X20A,4045,Qualcomm Snapdragon 660,8,1843 MHz,5397,1604
762,N/A,Meizu,5763,Meizu Pro 7,N/A,Mediatek MT6799 Helio X30,10,1898 MHz,4807,1767
763,4523,Xiaomi,5718,Xiaomi Mi 8 SE,5761,Qualcomm SDM710 Snapdragon 710,8,1708 MHz,6682,1823
764,N/A,Huawei,5707,Huawei Mate 9 Pro,9659,Hisilicon Kirin 960,8,1844 MHz,8923,1866
765,3778,Nokia,5707,Nokia 7 Plus,4431,Qualcomm Snapdragon 660,8,1843 MHz,5642,1620
766,3208,Smartisan,5705,Smartisan Nut Pro 2,4132,Qualcomm Snapdragon 660,8,1843 MHz,5272,1614
